Date,Close,Change,Open,High,Low,Volume,Tziros
30/8/2019,0.47,"0,4274%",471,481,"0,47",413.176,"196.286,20"
02/9/2019,0.47,"-0,5319%","0,4605",479,451,1.011.979,"470.723,27"
03/9/2019,0.48,"1,6043%","0,4745","0,48",459,321.734,"151.141,72"
04/9/2019,0.48,"0,8421%",475,"0,49","0,4745",666.416,"322.079,50"
05/9/2019,0.49,"1,8789%",483,495,483,371.781,"182.034,48"
06/9/2019,0.48,"-1,7418%","0,49",496,475,414.12,"201.447,38"
09/9/2019,0.47,"-1,9812%","0,4875","0,4875",468,164.256,"78.079,90"
10/9/2019,0.46,"-1,4894%","0,4775",478,458,240.67,"112.818,60"
11/9/2019,0.46,"-0,4320%","0,4605",471,"0,4605",225.707,"105.095,32"
12/9/2019,0.47,"1,4100%","0,46","0,4675","0,46",290.089,"134.429,18"
13/9/2019,0.48,"3,1016%",473,"0,4825","0,4695",303.7,"145.831,73"
16/9/2019,0.48,"0,3112%",482,"0,4845","0,4685",194.677,"92.995,43"
17/9/2019,0.47,"-2,7921%",483,483,"0,47",166.227,"79.568,75"
18/9/2019,0.49,"3,1915%",476,"0,4875",471,873.208,"423.397,23"
19/9/2019,0.48,"-0,2062%",483,"0,49","0,48",141.565,"68.489,98"
20/9/2019,0.48,"-0,4132%",484,487,477,179.791,"86.741,19"
23/9/2019,0.48,"-0,4149%","0,4805","0,4855",471,277.826,"133.370,28"
24/9/2019,0.48,"-0,4167%","0,48",484,"0,4735",348.226,"167.723,83"
25/9/2019,0.47,"-1,6736%",478,479,463,266.634,"125.457,07"
26/9/2019,0.47,"-0,4255%","0,47","0,4735",458,905.865,"424.027,81"
27/9/2019,0.46,"-2,6709%","0,4775","0,4775","0,4495",890.13,"408.477,74"
30/9/2019,0.38,"-16,5752%","0,45","0,4635","0,36",2.802.465,"1.154.638,97"
01/10/2019,0.41,"7,8947%",385,419,365,1.183.780,"478.835,62"
02/10/2019,0.40,"-2,4390%","0,41","0,41","0,39",626.611,"252.470,88"
03/10/2019,0.39,"-3,2500%",412,"0,4125",387,314.728,"125.038,05"
04/10/2019,0.39,"0,7752%",389,406,389,206.597,"82.139,68"
07/10/2019,0.37,"-4,7436%","0,3965",397,"0,37",605.486,"229.088,72"
08/10/2019,0.36,"-2,9610%","0,38","0,38","0,36",345.791,"126.289,18"
09/10/2019,0.37,"1,9417%",365,"0,3745","0,36",321.594,"119.070,04"
10/10/2019,0.36,"-3,4014%","0,36","0,3675",355,729.877,"263.062,76"
11/10/2019,0.37,"2,8169%","0,3635","0,37","0,3535",325.752,"118.790,06"
14/10/2019,0.37,"2,1918%",368,"0,38",366,236.063,"88.232,59"
15/10/2019,0.37,"-0,8043%","0,38","0,38",366,240.169,"90.211,65"
16/10/2019,0.38,"2,9730%","0,3765","0,3895",374,402.296,"152.841,72"
17/10/2019,0.39,"3,4121%",381,395,381,465.331,"182.342,22"
18/10/2019,0.39,"-1,9036%","0,3935",397,"0,3865",175.522,"68.372,26"
21/10/2019,0.42,"8,4088%",409,419,402,1.122.095,"463.667,64"
22/10/2019,0.46,"8,9499%","0,43","0,4595",427,1.845.902,"829.676,57"
23/10/2019,0.43,"-4,9288%","0,4605","0,4615",429,951.626,"424.281,35"
24/10/2019,0.42,"-2,5346%",433,437,"0,42",597.931,"254.092,65"
25/10/2019,0.45,"7,0922%","0,43",458,417,736.592,"325.755,13"
29/10/2019,0.44,"-2,6490%","0,46","0,46","0,44",190.114,"85.653,97"
30/10/2019,0.44,"-0,3401%",442,"0,45","0,4265",215.972,"95.177,19"
31/10/2019,0.44,"0,5688%","0,4365","0,4495","0,4365",217.707,"96.750,66"
01/11/2019,0.45,"0,6787%","0,4405",452,"0,44",208.928,"93.197,34"
04/11/2019,0.45,"0,6742%",445,"0,4525","0,44",187.219,"84.091,48"
05/11/2019,0.43,"-3,9063%",444,444,425,297.475,"128.038,96"
06/11/2019,0.41,"-5,2265%","0,4325","0,4325",408,286.166,"119.366,41"
07/11/2019,0.41,"0,4902%",408,419,402,330.467,"135.866,39"
08/11/2019,0.40,"-2,1951%","0,4005","0,4095","0,3945",274.397,"109.861,79"
