date,close,open,high,low,volume,change
14-Oct-10,1173.81,"1,177.82","1,178.89","1,166.71",-,-0.36%
15-Oct-10,1176.19,"1,177.47","1,181.20","1,167.12",-,0.20%
18-Oct-10,1184.71,"1,176.83","1,185.53","1,174.55",-,0.72%
19-Oct-10,1165.90,"1,178.64","1,178.64","1,159.71",-,-1.59%
20-Oct-10,1178.17,"1,166.74","1,182.94","1,166.74",-,1.05%
21-Oct-10,1180.26,"1,179.82","1,189.43","1,171.17",-,0.18%
22-Oct-10,1183.08,"1,180.52","1,183.93","1,178.99",-,0.24%
25-Oct-10,1185.62,"1,184.74","1,196.14","1,184.74",-,0.21%
26-Oct-10,1185.64,"1,184.88","1,187.11","1,177.72",-,0.00%
27-Oct-10,1182.45,"1,183.84","1,183.84","1,171.70",-,-0.27%
28-Oct-10,1183.78,"1,184.47","1,189.53","1,177.10",-,0.11%
29-Oct-10,1183.26,"1,183.87","1,185.46","1,179.70",-,-0.04%
1-Nov-10,1184.38,"1,185.71","1,195.81","1,177.65",-,0.09%
2-Nov-10,1193.57,"1,187.86","1,195.88","1,187.86",-,0.78%
3-Nov-10,1197.96,"1,193.79","1,198.30","1,183.56",-,0.37%
4-Nov-10,1221.06,"1,198.34","1,221.25","1,198.34",-,1.93%
5-Nov-10,1225.85,"1,221.20","1,227.08","1,220.29",-,0.39%
8-Nov-10,1223.25,"1,223.24","1,224.57","1,217.55",-,-0.21%
9-Nov-10,1213.40,"1,223.59","1,226.84","1,208.94",-,-0.81%
10-Nov-10,1218.71,"1,213.14","1,218.75","1,204.33",-,0.44%
11-Nov-10,1213.54,"1,213.04","1,215.45","1,204.49",-,-0.42%
12-Nov-10,1199.21,"1,209.07","1,210.50","1,194.08",-,-1.18%
15-Nov-10,1197.75,"1,200.44","1,207.43","1,197.15",-,-0.12%
16-Nov-10,1178.34,"1,194.79","1,194.79","1,173.00",-,-1.62%
17-Nov-10,1178.59,"1,178.33","1,183.56","1,175.82",-,0.02%
18-Nov-10,1196.69,"1,183.75","1,200.29","1,183.75",-,1.54%
19-Nov-10,1199.73,"1,196.12","1,199.97","1,189.44",-,0.25%
22-Nov-10,1197.84,"1,198.07","1,198.94","1,184.58",-,-0.16%
23-Nov-10,1180.73,"1,192.51","1,192.51","1,176.91",-,-1.43%
24-Nov-10,1198.35,"1,183.70","1,198.62","1,183.70",-,1.49%
26-Nov-10,1189.40,"1,194.16","1,194.16","1,186.93",-,-0.75%
29-Nov-10,1187.76,"1,189.08","1,190.34","1,173.64",-,-0.14%
30-Nov-10,1180.55,"1,182.96","1,187.40","1,174.14",-,-0.61%
1-Dec-10,1206.07,"1,186.60","1,207.61","1,186.60",-,2.16%
2-Dec-10,1221.53,"1,206.81","1,221.89","1,206.81",-,1.28%
3-Dec-10,1224.71,"1,219.93","1,225.57","1,216.82",-,0.26%
6-Dec-10,1223.12,"1,223.87","1,225.80","1,220.67",-,-0.13%
7-Dec-10,1223.75,"1,227.25","1,235.05","1,223.25",-,0.05%
8-Dec-10,1228.28,"1,225.02","1,228.93","1,219.50",-,0.37%
9-Dec-10,1233.00,"1,230.14","1,234.71","1,226.85",-,0.38%
10-Dec-10,1240.40,"1,233.85","1,240.40","1,232.58",-,0.60%
13-Dec-10,1240.46,"1,242.52","1,246.73","1,240.34",-,0.00%
14-Dec-10,1241.59,"1,241.84","1,246.59","1,238.17",-,0.09%
15-Dec-10,1235.23,"1,241.58","1,244.25","1,234.01",-,-0.51%
16-Dec-10,1242.87,"1,236.34","1,243.75","1,232.85",-,0.62%
17-Dec-10,1243.91,"1,243.63","1,245.81","1,239.87",-,0.08%
20-Dec-10,1247.08,"1,245.76","1,250.20","1,241.51",-,0.25%
21-Dec-10,1254.60,"1,249.43","1,255.82","1,249.43",-,0.60%
22-Dec-10,1258.84,"1,254.94","1,259.39","1,254.94",-,0.34%
23-Dec-10,1256.77,"1,257.53","1,258.59","1,254.05",-,-0.16%
27-Dec-10,1257.54,"1,254.66","1,258.43","1,251.48",-,0.06%
28-Dec-10,1258.51,"1,259.10","1,259.90","1,256.22",-,0.08%
29-Dec-10,1259.78,"1,258.78","1,262.60","1,258.78",-,0.10%
30-Dec-10,1257.88,"1,259.44","1,261.09","1,256.32",-,-0.15%
31-Dec-10,1257.64,"1,256.76","1,259.34","1,254.19",-,-0.02%
3-Jan-11,1271.87,"1,257.62","1,276.17","1,257.62",-,1.13%
4-Jan-11,1270.20,"1,272.95","1,274.12","1,262.66",-,-0.13%
5-Jan-11,1276.56,"1,268.78","1,277.63","1,265.36",-,0.50%
6-Jan-11,1273.85,"1,276.29","1,278.17","1,270.43",-,-0.21%
7-Jan-11,1271.50,"1,274.41","1,276.83","1,261.70",-,-0.18%
10-Jan-11,1269.75,"1,270.84","1,271.52","1,262.18",-,-0.14%
11-Jan-11,1274.48,"1,272.58","1,277.25","1,269.62",-,0.37%
12-Jan-11,1285.96,"1,275.65","1,286.87","1,275.65",-,0.90%
13-Jan-11,1283.76,"1,285.78","1,286.70","1,280.47",-,-0.17%
14-Jan-11,1293.24,"1,282.90","1,293.24","1,281.24",-,0.74%
18-Jan-11,1295.02,"1,293.22","1,296.06","1,290.16",-,0.14%
19-Jan-11,1281.92,"1,294.52","1,294.60","1,278.92",-,-1.01%
20-Jan-11,1280.26,"1,280.85","1,283.35","1,271.26",-,-0.13%
21-Jan-11,1283.35,"1,283.63","1,291.21","1,282.07",-,0.24%
24-Jan-11,1290.84,"1,283.29","1,291.93","1,282.47",-,0.58%
25-Jan-11,1291.18,"1,288.17","1,291.26","1,281.07",-,0.03%
26-Jan-11,1296.63,"1,291.97","1,299.74","1,291.97",-,0.42%
27-Jan-11,1299.54,"1,297.51","1,301.29","1,294.41",-,0.22%
28-Jan-11,1276.34,"1,299.63","1,302.67","1,275.10",-,-1.79%
31-Jan-11,1286.12,"1,276.50","1,287.17","1,276.50",-,0.77%
1-Feb-11,1307.59,"1,289.14","1,308.86","1,289.14",-,1.67%
2-Feb-11,1304.03,"1,305.91","1,307.61","1,302.62",-,-0.27%
3-Feb-11,1307.10,"1,302.77","1,308.60","1,294.83",-,0.24%
4-Feb-11,1310.87,"1,307.01","1,311.00","1,301.67",-,0.29%
7-Feb-11,1319.05,"1,311.85","1,322.85","1,311.85",-,0.62%
8-Feb-11,1324.57,"1,318.76","1,324.87","1,316.03",-,0.42%
9-Feb-11,1320.88,"1,322.48","1,324.54","1,314.89",-,-0.28%
10-Feb-11,1321.87,"1,318.13","1,322.78","1,311.74",-,0.07%
11-Feb-11,1329.15,"1,318.66","1,330.79","1,316.08",-,0.55%
14-Feb-11,1332.32,"1,328.73","1,332.96","1,326.90",-,0.24%
15-Feb-11,1328.01,"1,330.43","1,330.43","1,324.61",-,-0.32%
16-Feb-11,1336.32,"1,329.51","1,337.61","1,329.51",-,0.63%
17-Feb-11,1340.43,"1,334.37","1,341.50","1,331.00",-,0.31%
18-Feb-11,1343.01,"1,340.38","1,344.07","1,338.12",-,0.19%
22-Feb-11,1315.44,"1,338.91","1,338.91","1,312.33",-,-2.05%
